t	e	n	u	dpe	dpn	dpu
2015.863100	-0.351300	-0.337127	0.491965	0.000836	0.000800	0.003245
2015.865800	-0.351972	-0.336393	0.497372	0.000884	0.000829	0.003500
2015.868600	-0.352954	-0.335220	0.494311	0.000857	0.000801	0.003373
2015.871300	-0.351975	-0.332046	0.482782	0.000845	0.000789	0.003240
2015.874100	-0.350541	-0.331805	0.497699	0.000821	0.000758	0.003188
2015.876800	-0.350017	-0.336127	0.495688	0.000806	0.000735	0.003148
2015.879500	-0.352213	-0.336196	0.495739	0.000819	0.000773	0.003173
2015.882300	-0.352630	-0.333090	0.505342	0.000847	0.000794	0.003246
2015.885000	-0.353845	-0.335716	0.493524	0.000839	0.000788	0.003261
2015.887700	-0.350477	-0.336099	0.488994	0.000808	0.000751	0.003164
2015.890500	-0.349819	-0.333618	0.495982	0.000803	0.000734	0.003027
2015.893200	-0.350763	-0.334613	0.500088	0.000806	0.000748	0.003087
2015.896000	-0.351141	-0.337868	0.491269	0.000898	0.000819	0.003510
2015.898700	-0.352568	-0.333545	0.481964	0.000843	0.000785	0.003299
2015.901400	-0.350098	-0.338521	0.507657	0.000855	0.000818	0.003373
2015.904200	-0.347952	-0.335266	0.495611	0.000853	0.000803	0.003337
2015.906900	-0.351197	-0.335364	0.494082	0.000880	0.000815	0.003379
2015.909700	-0.350298	-0.335413	0.490661	0.000803	0.000730	0.003104
2015.912400	-0.349593	-0.336320	0.496500	0.000794	0.000741	0.003114
2015.915100	-0.353741	-0.332614	0.493557	0.000809	0.000768	0.003137
2015.917900	-0.349257	-0.336293	0.488752	0.000813	0.000758	0.003123
2015.920600	-0.349511	-0.333853	0.489164	0.000837	0.000754	0.003203
2015.923300	-0.352155	-0.335845	0.489764	0.000813	0.000752	0.003125
2015.926100	-0.354633	-0.334357	0.483359	0.000835	0.000780	0.003348
2015.928800	-0.348346	-0.337069	0.481762	0.000804	0.000743	0.003085
2015.931600	-0.350818	-0.336394	0.488535	0.000813	0.000757	0.003179
2015.934300	-0.351019	-0.335613	0.489762	0.000840	0.000773	0.003234
2015.937000	-0.351414	-0.336061	0.494976	0.000812	0.000758	0.003201
2015.939800	-0.350680	-0.336552	0.494451	0.000814	0.000769	0.003155
2015.942500	-0.347558	-0.332549	0.491663	0.000840	0.000783	0.003250
2015.945200	-0.350687	-0.337383	0.495848	0.000874	0.000800	0.003293
2015.948000	-0.353776	-0.332937	0.491079	0.000835	0.000793	0.003292
2015.950700	-0.350365	-0.333843	0.497524	0.000841	0.000765	0.003214
2015.953500	-0.350030	-0.333657	0.497802	0.000858	0.000777	0.003294
2015.956200	-0.349730	-0.335468	0.490465	0.000800	0.000756	0.003059
2015.958900	-0.350444	-0.334455	0.485316	0.000842	0.000761	0.003155
2015.961700	-0.351090	-0.333286	0.492415	0.000835	0.000764	0.003127
2015.964400	-0.350445	-0.333940	0.496390	0.000788	0.000722	0.003032
2015.967100	-0.351468	-0.334749	0.491490	0.000834	0.000769	0.003265
2015.969900	-0.352739	-0.335357	0.482296	0.000792	0.000716	0.002987
2015.972600	-0.351168	-0.336956	0.498342	0.000843	0.000784	0.003236
2015.975400	-0.351543	-0.336045	0.491140	0.000810	0.000747	0.003078
2015.978100	-0.352821	-0.335565	0.488060	0.000812	0.000751	0.003090
2015.980800	-0.352062	-0.336114	0.492467	0.000850	0.000769	0.003198
2015.983600	-0.352828	-0.336743	0.493013	0.000783	0.000737	0.003020
2015.986300	-0.352927	-0.333308	0.490970	0.000818	0.000744	0.003113
2015.989000	-0.351503	-0.333985	0.488104	0.000820	0.000763	0.003159
